rank,frozen_genomic_order,raw_feature_name,model_feature_name,feature_type,beta,abs_beta,hazard_ratio,direction,direction_display,is_active,standard_error,beta_ci_lower_95,beta_ci_upper_95,hazard_ratio_ci_lower_95,hazard_ratio_ci_upper_95,comparison_to,z_statistic,p_value,negative_log2_p_value
36,5,egfr,egfr,expression,7.2221935437529614e-08,7.2221935437529614e-08,1.000000072221938,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.00012590533848158241,-0.00024669770694978895,0.000246842150820664,0.99975333272042732,1.0002468726188511,0,0.00057362091479619295,0.99954231675342997,0.0006604484997628586
37,35,prkcz,prkcz,expression,-6.8478654422725943e-08,6.8478654422725943e-08,0.99999993152134792,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.00011382839698733106,-0.00022316803716751921,0.00022303107985867376,0.99977685686296658,1.0002230559531391,0,-0.00060159552655694097,0.9995199962464657,0.00069266528910394952
38,52,egfr_mut,egfr_mut_present,mutation_presence,-6.0166039830309016e-08,6.0166039830309016e-08,0.99999993983396196,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.0002573988765749102,-0.00050455269378772488,0.0005044323617080643,0.99949557457151772,1.0005045596091069,0,-0.0002337463186743903,0.9998134974228835,0.00026909143702228766
39,28,abcb1,abcb1,expression,-4.7308541883563235e-08,4.7308541883563235e-08,0.99999995269145925,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,6.5935473553362401e-05,-0.00012927846201006709,0.00012918384492629996,0.9998707298940902,1.0001291921895186,0,-0.00071749756745548873,0.99942751981763267,0.00082615082016422451
40,40,hdac2,hdac2,expression,4.4674509579989155e-08,4.4674509579989155e-08,1.0000000446745105,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,6.1888798137997589e-05,-0.00012125514088736485,0.00012134448990652482,0.99987875221022005,1.000121351852447,0,0.00072185130304801553,0.99942404604012125,0.00083116530115369413
41,42,chek1,chek1,expression,4.4468657462925653e-08,4.4468657462925653e-08,1.0000000444686585,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,6.1587044526568256e-05,-0.00012066392052887552,0.00012075285784380136,0.99987934335906936,1.0001207601487638,0,0.0007220456478268276,0.99942389097546314,0.00083138914110583381
42,62,smad4_mut,smad4_mut_present,mutation_presence,-3.7459490936899486e-08,3.7459490936899486e-08,0.99999996254050971,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.00028563046135533522,-0.00055986287663495359,0.00055978795765307984,0.99944029381734156,1.0005599446681719,0,-0.00013114669478581434,0.99989536007733004,0.00015097139647034141
43,55,lamb3_mut,lamb3_mut_present,mutation_presence,3.693174507709822e-08,3.693174507709822e-08,1.0000000369317457,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.00019715078775683456,-0.00038637151178201883,0.00038644537527217305,0.99961370312007825,1.0003865200549056,0,0.00018732740303655174,0.99985053435817606,0.00021564945673641512
44,3,csf1r,csf1r,expression,3.1382455004870227e-08,3.1382455004870227e-08,1.0000000313824555,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,4.6219935363708043e-05,-9.0558026225632095e-05,9.062079113564183e-05,0.99990944607402865,1.0000906248973236,0,0.00067898093664388315,0.99945825163519808,0.00078178946501746157
45,1,gata3,gata3,expression,-3.0252588237370343e-08,3.0252588237370343e-08,0.99999996974741223,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,4.5210444190873268e-05,-8.8641094927407075e-05,8.8580589750932343e-05,0.9999113628335784,1.0000885845131273,0,-0.00066915043147214867,0.99946609524171759,0.00077046744350512428
46,34,foxo1,foxo1,expression,2.8659878222816064e-08,2.8659878222816064e-08,1.0000000286598787,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,4.3864077865152449e-05,-8.5943352952536569e-05,8.6000672708982204e-05,0.99991406034007169,1.0000860043708728,0,0.00065337924829795017,0.9994786788225265,0.00075230359039079274
47,18,ccne1,ccne1,expression,-2.4459464834626131e-08,2.4459464834626131e-08,0.99999997554053544,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,4.0725578045183944e-05,-7.9845125682970289e-05,7.9796206753301037e-05,0.99992015806185419,1.0000797993905552,0,-0.00060059220786231704,0.99952079677881711,0.00069150981087911546
48,47,nr3c1,nr3c1,expression,-2.285589108293256e-08,2.285589108293256e-08,0.99999997714410915,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,3.9678340908251324e-05,-7.7790975037557826e-05,7.7745263255391955e-05,0.99992221205060183,1.0000777482854966,0,-0.00057602940444970966,0.99954039505703807,0.0006632221937559247
